Booking_ID,Visitor_ID,Place_ID,Booking_Date,Visit_Date,Number_of_Visitors
70,87,4,2024-04-06,2024-11-25,2
71,66,3,2024-02-17,2024-06-26,1
72,58,5,2024-02-21,2024-11-07,2
73,58,2,2024-06-29,2024-09-16,2
74,49,4,2024-07-25,2024-08-05,2
75,70,3,2024-08-19,2024-05-03,4
76,97,5,2024-10-20,2024-06-20,4
77,5,4,2024-08-25,2024-11-12,2
78,96,4,2024-10-06,2024-07-15,2
79,47,3,2024-06-14,2024-11-18,3
80,40,4,2024-07-31,2024-06-22,4
81,13,2,2024-03-02,2024-10-15,4
82,30,3,2024-11-30,2024-07-03,1
83,63,3,2024-06-23,2024-04-10,4
84,58,2,2024-10-18,2024-04-06,1
85,90,5,2024-11-22,2024-09-04,2
86,23,1,2024-04-17,2024-10-24,4
87,1,2,2024-10-29,2024-07-21,2
88,1,2,2024-07-07,2024-08-31,4
89,48,1,2024-04-02,2024-04-16,4
90,1,5,2024-06-19,2024-01-31,3
91,64,5,2024-10-04,2024-04-20,2
92,93,3,2024-04-01,2024-04-15,4
93,26,3,2024-05-10,2024-05-04,1
94,86,1,2024-07-28,2024-02-01,1
95,78,4,2024-02-23,2024-02-28,1
96,47,1,2024-03-30,2024-05-28,2
97,62,4,2024-09-26,2024-02-29,1
98,76,2,2024-10-01,2024-03-24,2
99,48,5,2024-01-25,2024-06-10,3
100,100,1,2024-06-07,2024-05-08,2
101,94,5,2024-07-29,2024-06-29,3
102,10,5,2024-06-10,2024-01-25,4
103,34,4,2024-03-21,2024-11-19,3
104,10,2,2024-06-12,2024-05-31,3
105,58,1,2024-10-25,2024-08-14,4
106,69,5,2024-09-27,2024-01-08,4
107,16,2,2024-11-28,2024-10-24,1
108,92,3,2024-08-11,2024-05-27,4
109,24,4,2024-07-04,2024-01-03,2
110,35,4,2024-05-16,2024-04-25,1
111,33,5,2024-10-19,2024-05-31,3
112,43,5,2024-11-27,2024-11-20,4
113,67,1,2024-06-11,2024-07-28,1
114,40,2,2024-10-17,2024-10-12,3
115,44,5,2024-07-31,2024-11-06,1
116,12,2,2024-08-22,2024-03-26,1
117,35,1,2024-07-08,2024-03-26,2
118,8,5,2024-04-15,2024-06-18,2
119,74,2,2024-07-07,2024-01-12,2
120,34,3,2024-05-31,2024-05-10,1
121,7,4,2024-09-16,2024-09-20,2
122,75,5,2024-11-05,2024-06-06,4
123,36,1,2024-10-08,2024-03-05,1
124,36,2,2024-11-22,2024-06-30,1
125,73,3,2024-02-19,2024-08-29,1
126,99,4,2024-07-26,2024-01-11,2
127,96,5,2024-06-02,2024-08-17,4
128,55,5,2024-08-07,2024-09-14,3
129,89,3,2024-01-11,2024-02-02,1
130,30,1,2024-09-06,2024-06-15,1
131,62,4,2024-02-22,2024-12-02,4
132,89,5,2024-06-28,2024-03-11,3
133,19,1,2024-01-20,2024-04-11,4
134,12,5,2024-05-27,2024-05-07,1
135,19,4,2024-03-23,2024-06-25,1
136,71,4,2024-05-06,2024-05-11,2
137,95,4,2024-10-22,2024-05-27,3
138,16,5,2024-04-18,2024-10-19,1
139,99,4,2024-11-19,2024-06-12,1
140,52,3,2024-04-07,2024-11-20,1
141,100,5,2024-02-01,2024-07-01,3
142,16,1,2024-01-08,2024-10-17,3
143,53,2,2024-07-28,2024-01-21,2
144,39,2,2024-05-15,2024-03-28,1
145,35,5,2024-09-09,2024-01-27,3
146,75,2,2024-10-30,2024-09-10,3
147,76,1,2024-01-16,2024-10-19,2
148,58,4,2024-01-13,2024-04-06,1
149,7,5,2024-03-18,2024-11-21,4
150,42,1,2024-01-08,2024-08-29,2
151,27,2,2024-02-29,2024-04-02,2
152,5,5,2024-02-19,2024-07-02,1
153,38,3,2024-09-16,2024-02-14,4
154,65,4,2024-08-07,2024-03-25,1
155,71,1,2024-06-29,2024-09-28,1
156,4,4,2024-04-09,2024-10-24,2
157,31,3,2024-05-23,2024-03-06,1
158,54,3,2024-08-23,2024-08-23,2
159,90,3,2024-10-17,2024-10-05,3
160,67,5,2024-02-14,2024-10-29,1
161,92,2,2024-11-14,2024-03-04,4
162,92,5,2024-04-30,2024-02-11,3
163,39,1,2024-08-12,2024-01-10,3
164,77,4,2024-05-01,2024-08-11,2
165,63,4,2024-09-20,2024-05-25,1
166,25,1,2024-06-03,2024-10-04,2
167,6,2,2024-03-18,2024-01-30,4
168,45,5,2024-08-17,2024-09-25,1
169,47,5,2024-11-18,2024-08-31,4
170,85,3,2024-04-04,2024-02-09,4
171,36,3,2024-09-27,2024-10-27,3
172,20,1,2024-04-27,2024-11-26,2
173,47,1,2024-09-22,2024-08-21,1
174,14,1,2024-11-08,2024-02-17,1
175,54,3,2024-11-05,2024-08-07,4
176,87,1,2024-10-30,2024-01-16,3
177,12,2,2024-05-14,2024-07-25,4
178,16,4,2024-06-15,2024-09-13,4
179,28,5,2024-05-23,2024-01-27,4
180,92,4,2024-07-15,2024-09-08,2
181,8,2,2024-05-12,2024-01-05,4
182,50,4,2024-11-25,2024-06-12,4
183,41,4,2024-11-15,2024-07-09,4
184,27,1,2024-02-10,2024-06-17,1
185,33,5,2024-05-20,2024-09-03,4
186,77,4,2024-11-17,2024-06-27,4
187,29,5,2024-10-01,2024-02-29,2
188,35,5,2024-06-18,2024-03-09,2
189,82,3,2024-10-11,2024-07-21,4
190,69,1,2024-09-09,2024-04-14,2
191,10,2,2024-08-27,2024-11-09,3
192,5,1,2024-07-28,2024-10-27,2
193,65,2,2024-07-06,2024-06-29,4
194,49,3,2024-06-18,2024-11-16,1
195,26,1,2024-10-10,2024-08-18,2
196,59,3,2024-04-14,2024-05-05,1
197,77,1,2024-11-26,2024-04-05,2
198,99,1,2024-11-18,2024-02-03,1
199,55,4,2024-04-18,2024-06-24,1
200,69,5,2024-04-04,2024-10-18,2
